Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2023 [YR2023]
Bangladesh,BGD,"Population ages 0-14, female",SP.POP.0014.FE.IN,23534657,23494698
Bangladesh,BGD,"Population ages 0-14, male",SP.POP.0014.MA.IN,25197530,25134853
Bangladesh,BGD,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,5335783,5546579
Bangladesh,BGD,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,5056247,5291074
Barbados,BRB,"Population ages 80 and above, female",SP.POP.80UP.FE,5199,5268
Barbados,BRB,"Population ages 80 and above, male",SP.POP.80UP.MA,2946,2893
Barbados,BRB,"Population, total",SP.POP.TOTL,282318,282336
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.676,76.178
Barbados,BRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.097,10.613
Barbados,BRB,"Population ages 15-64, female",SP.POP.1564.FE.IN,96915,96568
Barbados,BRB,"Population ages 15-64, male",SP.POP.1564.MA.IN,91041,90959
Barbados,BRB,"Population ages 0-14, female",SP.POP.0014.FE.IN,24566,24260
Barbados,BRB,"Population ages 0-14, male",SP.POP.0014.MA.IN,25476,25111
Barbados,BRB,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,25427,26144
Barbados,BRB,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,18894,19293
Belarus,BLR,"Population ages 80 and above, female",SP.POP.80UP.FE,267191,255129
Belarus,BLR,"Population ages 80 and above, male",SP.POP.80UP.MA,80406,76635
Belarus,BLR,"Population, total",SP.POP.TOTL,9228071,9178298
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.10336585,74.18378049
Belarus,BLR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.246,13.338
Belarus,BLR,"Population ages 15-64, female",SP.POP.1564.FE.IN,3153788,3119730
Belarus,BLR,"Population ages 15-64, male",SP.POP.1564.MA.IN,2985958,2962062
Belarus,BLR,"Population ages 0-14, female",SP.POP.0014.FE.IN,759516,742821
Belarus,BLR,"Population ages 0-14, male",SP.POP.0014.MA.IN,805551,787686
Belarus,BLR,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1014857,1038317
Belarus,BLR,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,508400,527682
Belgium,BEL,"Population ages 80 and above, female",SP.POP.80UP.FE,405992,410501
Belgium,BEL,"Population ages 80 and above, male",SP.POP.80UP.MA,243654,248498
Belgium,BEL,"Population, total",SP.POP.TOTL,11680210,11779946
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.74878049,82.39756098
Belgium,BEL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10,9.4
Belgium,BEL,"Population ages 15-64, female",SP.POP.1564.FE.IN,3697797,3720406
Belgium,BEL,"Population ages 15-64, male",SP.POP.1564.MA.IN,3742862,3767397
Belgium,BEL,"Population ages 0-14, female",SP.POP.0014.FE.IN,943458,937851
Belgium,BEL,"Population ages 0-14, male",SP.POP.0014.MA.IN,987243,981190
Belgium,BEL,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1282427,1315076
Belgium,BEL,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1026423,1058026
Belize,BLZ,"Population ages 80 and above, female",SP.POP.80UP.FE,1531,1564
Belize,BLZ,"Population ages 80 and above, male",SP.POP.80UP.MA,1378,1396
Belize,BLZ,"Population, total",SP.POP.TOTL,402733,411106
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.19,73.566
Belize,BLZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.409,4.925
Belize,BLZ,"Population ages 15-64, female",SP.POP.1564.FE.IN,135747,139138
Belize,BLZ,"Population ages 15-64, male",SP.POP.1564.MA.IN,136827,141097
Belize,BLZ,"Population ages 0-14, female",SP.POP.0014.FE.IN,54320,54190
Belize,BLZ,"Population ages 0-14, male",SP.POP.0014.MA.IN,56878,56778
Belize,BLZ,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,9754,10291
Belize,BLZ,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,9208,9612
Benin,BEN,"Population ages 80 and above, female",SP.POP.80UP.FE,32546,33783
Benin,BEN,"Population ages 80 and above, male",SP.POP.80UP.MA,20985,21833
Benin,BEN,"Population, total",SP.POP.TOTL,13759501,14111034
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.475,60.774
Benin,BEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.948,8.797
Benin,BEN,"Population ages 15-64, female",SP.POP.1564.FE.IN,3771599,3884522
Benin,BEN,"Population ages 15-64, male",SP.POP.1564.MA.IN,3770925,3887251
Benin,BEN,"Population ages 0-14, female",SP.POP.0014.FE.IN,2858314,2911603
Benin,BEN,"Population ages 0-14, male",SP.POP.0014.MA.IN,2937274,2991927
Benin,BEN,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,233129,240305
Benin,BEN,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,188260,195427
Bermuda,BMU,"Population ages 80 and above, female",SP.POP.80UP.FE,1966,2051
Bermuda,BMU,"Population ages 80 and above, male",SP.POP.80UP.MA,1079,1115
Bermuda,BMU,"Population, total",SP.POP.TOTL,64749,64698
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.062,82.309
Bermuda,BMU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.772,8.858
Bermuda,BMU,"Population ages 15-64, female",SP.POP.1564.FE.IN,21127,20907
Bermuda,BMU,"Population ages 15-64, male",SP.POP.1564.MA.IN,21433,21282
Bermuda,BMU,"Population ages 0-14, female",SP.POP.0014.FE.IN,4445,4373
Bermuda,BMU,"Population ages 0-14, male",SP.POP.0014.MA.IN,4703,4606
Bermuda,BMU,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,7444,7738
Bermuda,BMU,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,5598,5792
Bhutan,BTN,"Population ages 80 and above, female",SP.POP.80UP.FE,4387,4440
Bhutan,BTN,"Population ages 80 and above, male",SP.POP.80UP.MA,3919,3900
Bhutan,BTN,"Population, total",SP.POP.TOTL,780914,786385
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.754,72.975
Bhutan,BTN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.143,6.11
Bhutan,BTN,"Population ages 15-64, female",SP.POP.1564.FE.IN,255674,259378
Bhutan,BTN,"Population ages 15-64, male",SP.POP.1564.MA.IN,304361,308154
Bhutan,BTN,"Population ages 0-14, female",SP.POP.0014.FE.IN,82627,81150
Bhutan,BTN,"Population ages 0-14, male",SP.POP.0014.MA.IN,89478,87620
Bhutan,BTN,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,24423,25174
Bhutan,BTN,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,24351,24908
Bolivia,BOL,"Population ages 80 and above, female",SP.POP.80UP.FE,70129,71541
Bolivia,BOL,"Population ages 80 and above, male",SP.POP.80UP.MA,44307,45228
Bolivia,BOL,"Population, total",SP.POP.TOTL,12077154,12244159
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.434,68.581
Bolivia,BOL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.681,7.172
Bolivia,BOL,"Population ages 15-64, female",SP.POP.1564.FE.IN,3846319,3917965
Bolivia,BOL,"Population ages 15-64, male",SP.POP.1564.MA.IN,3885764,3955902
Bolivia,BOL,"Population ages 0-14, female",SP.POP.0014.FE.IN,1809612,1813276
Bolivia,BOL,"Population ages 0-14, male",SP.POP.0014.MA.IN,1873742,1877407
Bolivia,BOL,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,367473,377186
Bolivia,BOL,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,294244,302421
Bosnia and Herzegovina,BIH,"Population ages 80 and above, female",SP.POP.80UP.FE,123660,123550
Bosnia and Herzegovina,BIH,"Population ages 80 and above, male",SP.POP.80UP.MA,43671,42797
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3204802,3185073
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.777,77.85
Bosnia and Herzegovina,BIH,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.05,13.457
Bosnia and Herzegovina,BIH,"Population ages 15-64, female",SP.POP.1564.FE.IN,1053717,1039632
Bosnia and Herzegovina,BIH,"Population ages 15-64, male",SP.POP.1564.MA.IN,1046076,1035050
Bosnia and Herzegovina,BIH,"Population ages 0-14, female",SP.POP.0014.FE.IN,206758,203160
Bosnia and Herzegovina,BIH,"Population ages 0-14, male",SP.POP.0014.MA.IN,221932,217904
Bosnia and Herzegovina,BIH,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,420152,427615
Bosnia and Herzegovina,BIH,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,256166,261713
Botswana,BWA,"Population ages 80 and above, female",SP.POP.80UP.FE,9696,9991
Botswana,BWA,"Population ages 80 and above, male",SP.POP.80UP.MA,4987,5140
Botswana,BWA,"Population, total",SP.POP.TOTL,2439892,2480244
